Province Number,Province Name,Dynasty Name,Centroid Latitude,Centroid Longitude,Area (km²),NE Coordinates,SW Coordinates,Population,Dynast Rank
1,Emerald Hills-on-the-Cork,O’Cruadhlaoich,45.0N,10.0E,3500000,47.0N 12.0E,43.0N 8.0E,1500000,Duke
2,Galway-on-the-Meer,MacCarthy,50.0N,5.0W,3200000,52.0N 3.0W,48.0N 7.0W,1400000,Marquess
3,Dún Ruadh-on-Dubh-Gorm,O’Riordan,48.0N,8.0W,3000000,50.0N 6.0W,46.0N 10.0W,1350000,Margrave
4,Limerick-am-Wyrmstrom,O’Shea,52.0N,8.0W,2800000,54.0N 6.0W,50.0N 10.0W,1300000,Margrave
5,Hamburgh-on-the-Neu-Rhone,Vogelstein,53.0N,10.0E,2500000,55.0N 12.0E,51.0N 8.0E,1250000,Graf
6,Edinburgh-am-Dunklen Fluss,MacTavis,55.0N,3.0E,2500000,57.0N 5.0E,53.0N 1.0E,1250000,Graf
7,Wien-im-Dunklen Urwald,Habsburg,48.0N,16.0E,2500000,50.0N 18.0E,46.0N 14.0E,1200000,Graf
8,Frankfurt-am-Wyrmfluss,Steinbach,50.0N,8.0E,2500000,52.0N 10.0E,48.0N 6.0E,1200000,Graf
9,Oslo-im-Grünen Dschungel,Nordvik,59.0N,10.0E,2000000,60.5N 11.5E,57.5N 8.5E,1150000,Graf
10,Stockholm-im-Wyrmwald,Skoglund,59.0N,18.0E,2000000,60.5N 19.5E,57.5N 16.5E,1150000,Graf
11,Kyoto-no-Ryu Mori,Tanaka,35.0N,135.0E,2000000,36.5N 136.5E,33.5N 133.5E,1150000,Graf
12,Fukuoka-no-Ryu Gawa,Nakamura,33.0N,130.0E,2000000,34.5N 131.5E,31.5N 128.5E,1150000,Graf
13,Niigata-no-Ryu Tal,Mori,37.0N,138.0E,1800000,38.4N 139.4E,35.6N 136.6E,1100000,Graf
14,Nagano-no-Ryu Kante,Ito,36.0N,138.0E,1800000,37.4N 139.4E,34.6N 136.6E,1100000,Graf
15,Dublin-am-Smaragdmoor,O’Flaherty,53.0N,6.0W,1800000,54.4N 4.6W,51.6N 7.4W,1100000,Graf
16,Paris-in-der-Wilden Forêt,Dubois,48.0N,2.0E,1800000,49.4N 3.4E,46.6N 0.6E,1100000,Graf
17,Marseille-sur-le-Vert Abîme,Renault,43.0N,5.0E,1600000,44.3N 6.3E,41.7N 3.7E,1050000,Graf
18,Genf-am-Drachensee,Keller,46.0N,6.0E,1600000,47.3N 7.3E,44.7N 4.7E,1050000,Graf
19,Warszawa-am-Dichten Dorn,Nowak,52.0N,21.0E,1600000,53.3N 22.3E,50.7N 19.7E,1050000,Graf
20,Gdańsk-in-der-Grünen Festung,Wiśniewski,54.0N,18.0E,1600000,55.3N 19.3E,52.7N 16.7E,1050000,Graf
21,Kobe-na-Grüne Barriere,Inoue,34.0N,135.0E,1500000,35.2N 136.2E,32.8N 133.8E,1000000,Graf
22,Manchester-am-Dragonmoor,Grayson,53.0N,2.0W,1500000,54.2N 0.8W,51.8N 3.2W,1000000,Graf
23,München-am-Drachenfels,Rudel,47.0N,11.0E,1500000,48.2N 12.2E,45.8N 9.8E,1000000,Graf
24,Lyon-am-Draquebach,Durand,45.0N,4.0E,1500000,46.2N 5.2E,43.8N 2.8E,1000000,Graf
25,Zürich-am-Steilen Dschungelhang,Weber,47.0N,8.0E,1400000,48.1N 9.1E,45.9N 6.9E,950000,Graf
26,Salzburg-am-Harten Grat,Eisenhart,47.0N,13.0E,1400000,48.1N 14.1E,45.9N 11.9E,950000,Graf
27,Kraków-im-Wyrmschatten,Kowalski,50.0N,19.0E,1400000,51.1N 20.1E,48.9N 17.9E,950000,Graf
