Province Number,Province Name,Dynasty Name,Centroid Latitude,Centroid Longitude,Area (km²),NE Coordinates,SW Coordinates,Population,Dynast Rank
1,Kildromey,Strass,50.0N,5.0W,4500000,52.5N 2.5W,47.5N 7.5W,1600000,Margrave
2,Galway Rogue Reef,O’Driscoll,51.0N,6.0W,4300000,53.4N 3.6W,48.6N 8.4W,1550000,Margrave
3,Dublin Cutlass Cove,O’Sullivan,53.0N,7.0W,4200000,55.3N 4.7W,50.7N 9.3W,1500000,Margrave
4,Cork Brigantine Harbor,O’Malley,52.0N,8.0W,4100000,54.2N 5.8W,49.8N 10.2W,1450000,Margrave
5,Limerick Plunder Bay,O’Shea,54.0N,9.0W,4000000,56.1N 6.9W,51.9N 11.1W,1400000,Margrave
6,Edinburgh Sea-Wolf Bay,MacLean,55.0N,3.0E,3500000,57.0N 5.0E,53.0N 1.0E,1300000,Graf
7,Glasgow Ironclad Inlet,MacKintyre,56.0N,4.0W,3500000,58.0N 2.0W,54.0N 6.0W,1300000,Graf
8,Aberdeen Dreadnought Isles,MacTavis,57.0N,2.0W,3400000,59.0N 0.0E,55.0N 4.0W,1250000,Graf
9,Stirling Nexus Neap Tide,MacLaren,56.0N,3.0W,3400000,58.0N 1.0W,54.0N 5.0W,1250000,Graf
10,Lothian Orbital Outlaw Bay,MacPhee,55.0N,2.0E,3300000,57.0N 4.0E,53.0N 0.0E,1200000,Graf
11,Falkirk Flintlock Harbor,MacEwan,56.0N,1.0W,3300000,58.0N 1.0E,54.0N 3.0W,1200000,Graf
12,Kerry Starport Strait,O’Flaherty,52.0N,10.0W,3200000,54.0N 8.0W,50.0N 12.0W,1150000,Graf
13,Sligo Nova Nautical Haven,MacDonagh,54.0N,8.0W,3200000,56.0N 6.0W,52.0N 10.0W,1150000,Graf
14,Mayo Grid Galleon,Burke,53.0N,9.0W,3100000,55.0N 7.0W,51.0N 11.0W,1100000,Graf
15,O’Connell’s Blackwater Isles,O’Connell,51.0N,7.0W,3100000,53.0N 5.0W,49.0N 9.0W,1100000,Graf
